34,"Management Contract for Liberian Electricity Corporation (LEC)","Liberia","The overall objective of this support is to put in place an international operator who will manage LEC for 5 years and thereby: 1) Establish LEC as a competent, professional, financially robust and responsible electric utility, and 2) Significantly improve electricity services throughout Monrovia, reduce sector costs and thereby electricity prices, and enable LEC to effectively manage donor contributions so as to achieve at least 30,000 new connections. NOK 12,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Lands, Mines and Energy, the Liberian Electricity Corporation and the International Finance Corporation. Project period 2010 – 2015. ","","","","Transmission and distribution - Clean"
35,"Monrovia Gaps Project","Liberia","The overall objective of the project is to improve access to electricity among the residents of Monrovia, as well as the overall performance of the Monrovia grid, and thereby LEC. Additionally, the project should improve safety along the affected roads and reduce the use of costly and environmentally damaging small diesel generators. NOK 82,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Liberian Electricity Corporation. Project period 2009 – 2011.",NULL,NULL,NULL,NULL
36,"Institutional Cooperation between MLME and NVE, 2010–2015","Liberia","The overall goal of the institutional cooperation is to contribute to the economic and social development of Liberia. This will be approached by helping to develop skills at monitoring and managing water and energy resources through capacity building at the Ministry of Lands, Mines and Energy. NOK 51,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Lands, Mines and Energy. Project period 2010 – 2015. ",NULL,NULL,NULL,NULL
37,"Emergency power project II","Liberia","Assist with emergency assistance to Monrovia through an emergency package providing 7 MW of diesel generation capacity (approximately NOK 41 million). This covers some of the most urgent needs of humanitarian domains; such as hospitals, schools etc. In addition, NO K 8 million was allocated to a distribution project in the Paynesville township, with the objective of connecting small scale industry and shops by building an approximately 10 km 22 kV line and associated low voltage reticulation and customer connections. NOK 49,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with the Ministry of Lands, Mines and Energy, and Liberia Electricity Corporation. Project period 2007 – 2010. ","","","","Transmission and distribution - Clean"
38,"Institutional Capacity Building in the Ministry of Energy","Mozambique","The objectives are 1) Increase the impact of national energy policies by pro-actively guiding the sector, 2) Enhance the planning and regulatory functions for the power, down-stream hydrocarbon and overall bio-fuel sectors as well as for the renewable energy sector, increase processing capacity, and also create the legal and socioeconomic framework to enable the sector to grow, 3) Strengthen the ability to plan for larger investments and negotiate with investors, and 4) Enhance the efficiency and effectiveness of the ministry in performing its ancillary internal functions. NOK 30,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Ministry of Energy. Project period 2007 – 2011.  ",NULL,NULL,NULL,NULL
39,"Technical Assistance to Electricidade de Moçambique","Mozambique","The objective of the technical assistance is to strengthen Electricidade de Moçambique’s capacity to develop, structure, finance, promote and implement large power generation and transmission projects. NOK 13,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Electricidade de Moçambique. Project period 2008 – 2010.","","","","Transmission and distribution - Clean"
40,"Cabo Delgado Electrification Project","Mozambique","The objective of rural electrification is to contribute to socio-economic development in rural areas by promoting infrastructure improvements and stimulating economic and social activities in districts and local communities. NOK 200,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Electricidade de Moçambique. Project period 2006 – 2010.","","","","Transmission and distribution - Clean"
41,"Gurue-Cuamba-Lichinga Transmission System","Mozambique","The objective is to assist Electricidade de Moçambique with construction and development of the Gurué-Cuamba-Lichinga transmission line, and distribution lines around the same cities. NOK 189,100,000 and SEK 120,000,000. Norwegian Agency for International Development’s Clean Energy for Development program (NOK 189,100,000) and Sweden (SEK 120,000,000). Cooperating with Electricidade de Moçambique. Project period 2002 – 2010. ","","","","Transmission and distribution - Clean"
42,"Marrupa-Cuamba-Mecanhelas Electrification Project","Mozambique","The objective is to enhance economic and social development in Niassa Province, by giving households, enterprises and business increased access to electricity, as well as by improving quality of life in local communities by providing a reliable electric power supply for public administration and services. NOK 41,000,000 and SEK 52,000,000 by 2008. Norwegian Agency for International Development’s Clean Energy for Development program (NOK 41,000,000) and Sweden (SEK 52,000,000 by 2008). Cooperating with Electricidade de Moçambique. Project period 2007 – 2010. ","","","","Transmission and distribution - Clean"
43,"Energy Support and Assistance Programme (ESAP) Off-grid energy solutions","Nepal","The objective is to improve the living conditions of the rural population by enhancing their energy access with solutions that is efficient, environmental friendly and socially justifiable. NOK 125,000,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Alternative Energy Promotion Centre. Project period 2007 – 2012. ","Transmission and distribution - Clean??",NULL,NULL,NULL
44,"Rural electrification and mitigation (including community development)","Nepal","The objectives are to 1) increase access of the targeted population to economic and social activities, leading to a balanced and sustainable socio-economic growth and well-being, and 2) use electricity to improve living standards and to enhance socioeconomic activities.NOK 12,800,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Butwal Power Company. Project period 2006 – 2010.","","","","Transmission and distribution - Clean"
45,"Khimti Neighbourhood and Development Project (grid electrification and community development)","Nepal","The objective is to increase the living standards and incomes of people living in the project area. NOK 19,600,000. Norwegian Agency for International Development’s Clean Energy for Development program. Cooperating with Himal Power Limited. Project period 2007 – 2010. ","","","","Transmission and distribution - Clean"
46,"Eskom Investment Support Project [Medupi coal plant]","South Africa","World Bank Project P116410. | Project Status: Active close date 31-OCT-2015 Component A: IBRD financing US$3,040 million Medupi coal-fired power plant (4,800 MW using supercritical technology). Component B: IBRD financing US$260 Wind and Concentrating Solar Power Plants. Component C: IBRD financing US$440 million for low carbon energy efficiency Majuba Railway for coal transportation and a technical assistance program for improving supply side efficiencies. Commitments in USD: International Bank For Reconstruction And Development: 3,750,000,000. Foreign Multilateral Institutions (Unidentified): 2,000,000,000. Borrower: 5,000,000,000. Commitment for Entire Project: IBRD/IDA Specific Investment Loan: IBRD 3,750,000,000. IDA Commitment: 0. Total Project Cost: 10,750,000,000. The beneficiary of the project is Eskom.","","","1178","Coal"
47,"Morupule B Generation and Transmission Project [loan]","Botswana","World Bank Project P112516 involves $136,400,000 loan (See also Morupule B Project P116784 which involves $242,660,000 guarantees). Construction of 600 MW coal-fired power station adjacent to the existing Morupule A Power Station; construction, supply and installation of Morupule Phokoje 400 kV transmission line and Morupule-Isang 400 kV transmission line; water pipeline from the new Paje well field to Morupule B Power Station; power supply line for the new Paje well field. The second component of the project is alternative energy development (coal-bed methane and explore solar thermal, carbon capture and storage). Third component of project is capacity building for BPC and the Ministry of Minerals, Energy, and Water Resources. Lending Instrument Specific Investment Loan in USD: African Development Bank 203,000,000. International Bank For Reconstruction And Development 136,400,000. Borrower 1,322,600,000. The beneficiary of the project is Botswana Power Corporation. ","","","1172","Coal"
48,"Morupule B Generation and Transmission Project [guarantee]","Botswana","World Bank Project P116784 involves $242,660,000 guarantees. (See also Morupule B Project P112516 which involves $136,400,000 loan). Construction of 600 MW coal-fired power station adjacent to the existing Morupule A Power Station; construction, supply and installation of Morupule Phokoje 400 kV transmission line and Morupule-Isang 400 kV transmission line; water pipeline from the new Paje well field to Morupule B Power Station; power supply line for the new Paje well field. The second component of the project is alternative energy development (coal-bed methane and explore solar thermal, carbon capture and storage). Third component of project is capacity building for BPC and the Ministry of Minerals, Energy, and Water Resources. Guarantees in USD: IBRD Guarantee 242,660,000. Commitment for Entire Project (amount in millions): IBRD Commitment 242,660,000. The beneficiary of the project is Botswana Power Corporation. ","","","1173","Coal"
49,"EG-Ain Sokhna Power Project","Egypt","World Bank Project P100047 Project Status: Active, close date 31-DEC-2015 The Ain Sokhna [gas/oil] thermal power plant project includes two 650 MW steam turbine generators; two steam generators (once-through supercritical boilers); electrical equipment including transformers and switchyard; auxiliary equipment and systems; water and wastewater treatment systems and desalination plant; implementation of Environmental and Social Management Plan; distributed control systems and instrumentation; design, procurement, construction supervision, commissioning, testing, and start-up. Commitments in USD: African Development Bank $550,000,000. Arab Fund For Economic And Social Development $208,500,000. International Bank For Reconstruction And Development (IBRD) $600,000,000. Borrower $831,300,000. Total Project Cost: $2,189,800,000. IBRD and IDA Commitment: $600,000,000. The beneficiary of the project is the Government of Egypt. ","","","1174","Oil and gas"
50,"Emergency Energy Assistance","Kyrgyz Republic","World Bank Project ID: P101392 | Project Status: Active: Close date May 31, 2011 1. Provision of low sulfur fuel oil to the Bishkek and Osh combined heat and power plants; 2. Provision of brass pipes; 3. Provision of coal handling equipment; 4. Rehabilitation of electrostatic precipitators. The beneficiary of the project is the Kyrgyz Republic Power Plant Corporation.","Not entierly sure about the sector to put this project in","","1005","Coal"
51,"Siddhirganj Peaking Power Project","Bangladesh","World Bank Project P095965. The beneficiary of the project is the Government of Bangladesh. ","Need more information","","1004","Oil and gas"
52,"Egypt - Natural Gas Connections Project","Egypt","World Bank Project P095392. Two components: (a) Adding 37 km of gas pipelines and 4 pressure reduction stations in Cairo area. (b) Expansion of gas distribution system to connect 300,000 new customers. Commitments in USD: International Bank for Reconstruction and Development: Specific Investment Loan $75,000,000. Borrower: $78,700,000. Total Project Cost: $153,700,000. The beneficiary of the project is the Egyptian Gas Authority.","This project is not in BIC's dataset","","1179","Oil and gas"
53,"LPTAP Additional Financing","Kosovo","World Bank Project P106580 and Project ID: P097635 (approved October 12, 2006).  Project Status: The additional financing for Kosovo Lignite power technical assistance is to provide the Project Steering Committee with sufficient financing to execute the contracts with the successful bidders for the transaction advisory and the legal and regulatory advisory services, so that these advisors can assist the PSC in dealing with prospective private investors in a proposed multi-billion dollar lignite mining and power plant development (the New Minemew Plant) and in possible future energy sector developments. The original estimated budget for these two consultancies was US$4.60 million and the highest-scoring bids are US1.87 million over budget. Accordingly, the additional financing is necessary for the continuation of the project. Given the importance of this project in the Bank's portfolio in Kosovo and the role of the energy sector in providing economic stability for continued growth, the immediate hiring of these advisors is essential for the Bank's continuing support of the Kosovo provisional institutions of self-government. The beneficiary of the project is the Government of Kosovo.","This project is not in BIC's dataset","","969","Coal"
54,"Additional Financing for the Mineral Resources Governance Project","Madagascar","World Bank Project ID: P104983 | Project Status: Active. The project has more than one component. Primarily governance: to the Republic of Madagascar for the Mineral Resources Governance Project. The additional credit will help finance the costs associated with scaled-up activities to enhance the impact of a well-performing project and meet the Government of Madagascar's demands for assistance in sustainable development and transparent management of the extractive industries. The additional financing credit fully matches the development objectives of the original credit. Therefore, no new development objectives are defined. The additional financing meets the demands of the recent Government minerals sector strategy and increased interest in technical assistance. The beneficiary of the project is the Government of Madagascar.","This project is not in BIC's dataset","","217","Oil and gas"
55,"Palau Oil and Gas","Palau","World Bank Project ID: P103034 | Project Status: Closed on Sept 2010. The pursuit of possible oil and gas resources in northern Palau took one step forward with the selection of five international companies for consultancy services to provide expertise in developing petroleum regulatory policies, rules and regulations for exploration. The primary areas discussed for potential oil and gas are in the area of Kayangel State and Palau’s Northern Reef (Pacific Magazine, July 6, 2008). The beneficiary of the project is the Government of Palau.","This project is not in BIC's dataset","","968","Oil and gas"
56,"Gas Seep Harvesting project","Timor-Leste","World Bank Project ID: P092055 | Project Status: Active. The development objective of the Gas Seep Harvesting Project is to demonstrate the technical and economic viability of harvesting seep gas from natural gas seeps to produce reliable and affordable power for isolated rural communities in the south eastern part of Timor-Leste. The beneficiary of the project is the Ministry of Natural Resources, Mineral and Energy Policy in Timor-Leste.","This project is not in BIC's dataset. Energy access for the poor-project?","","215","Gas Flaring"
57,"Amman East Power Plant","Jordan","World Bank Project ID: P094306 | Project Status: Active. The project components consist of a 370-MW gas-fired combined-cycle power station to be developed, owned, and operated by a private-sector project company. The power station will be constructed on a site located at Almanakher, east of Amman Jordan and about 1 km from the Arab Gas Pipeline. The fuel supply will be natural gas from Egypt. Total project cost is 375,000,000. Recipient is the Government of Jordan. ","This project is not in BIC's dataset","","214","Oil and gas"
